relative_path,bytes,vertices,faces,watertight,body_count,extent_x_mm,extent_y_mm,extent_z_mm,load_error
DRUCKDATEIEN_SORTIERT/08_SCHIEBEBOX_POWERBANK_100MM_V3/00_CLIP_PASSFORM_ZUERST/03_CLIP_FEST_9P42.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/08_SCHIEBEBOX_POWERBANK_100MM_V3/01_V14_SCHIEBEBOX_POWERBANK_100MM_V3.stl,205084,2036,4100,True,1,75.800003,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/08_SCHIEBEBOX_POWERBANK_100MM_V3/02_SCHIEBEDECKEL_V3.stl,105884,1060,2116,True,1,75.800003,155.199997,8.8,
DRUCKDATEIEN_SORTIERT/08_SCHIEBEBOX_POWERBANK_100MM_V3/03_SECHS_VERSENKTE_HEX_HALTECLIPS_NOMINAL_V3.stl,29684,308,592,True,6,43.5,29.279057,5.65,
DRUCKDATEIEN_SORTIERT/08_SCHIEBEBOX_POWERBANK_100MM_V3/04_NUR_VORSCHAU_NICHT_DRUCKEN/MONTAGE_UNTER_V14_VORSCHAU.stl,356884,3398,7136,False,3,87.17458,155.199997,39.54884,
DRUCKDATEIEN_SORTIERT/08_SCHIEBEBOX_POWERBANK_100MM_V3/04_NUR_VORSCHAU_NICHT_DRUCKEN/POWERBANK_100MM_PASSFORM_VORSCHAU.stl,216884,2156,4336,True,2,75.800003,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/00_CLIP_PASSFORM_ZUERST/01_CLIP_LEICHT_9P26.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/00_CLIP_PASSFORM_ZUERST/02_CLIP_NOMINAL_9P34.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/00_CLIP_PASSFORM_ZUERST/03_CLIP_FEST_9P42.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/01_V14_SCHIEBEBOX_POWERBANK_100X76X16_KABELAUSGANG_V4.stl,208984,2073,4178,True,1,82.890663,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/02_SCHIEBEDECKEL_V4.stl,105884,1060,2116,True,1,82.890663,155.199997,8.8,
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/03_SECHS_VERSENKTE_HEX_HALTECLIPS_NOMINAL_V4.stl,29684,308,592,True,6,43.5,29.279057,5.65,
